uuid;active_power_gradient;capex;cos_phi_rated;e_storage;eta;id;opex;p_max;s_rated
e9d9e86d-60e1-46a5-bdb3-9db4a12af49c;1.0;0.0;0.95;23.1;95.0;Typ_1;0.65;11.6;11.6
6d236980-03f4-4561-bc26-2177f517bad4;1.0;0.0;0.95;8.3;95.0;Typ_2;0.65;4.2;4.2
52e72e1a-bd3d-4636-b67b-064191ed0664;1.0;0.0;0.95;30.8;95.0;Typ_3;0.65;15.4;15.4
a16d19df-0d6c-47a7-bed2-c7af6b6d3f38;1.0;0.0;0.95;17.4;95.0;Typ_4;0.65;8.7;8.7
d88da26a-499e-478d-afd8-a74a5a590b92;1.0;0.0;0.95;24;95.0;Typ_5;0.65;12;12
482b7fd1-a6b9-4557-bbf1-47976107357e;1.0;0.0;0.95;17.4;95.0;Typ_6;0.65;8.7;8.7
83715644-417c-4da8-8901-77dd99976300;1.0;0.0;0.95;17.4;95.0;Typ_7;0.65;8.7;8.7
5bd2e83c-4194-47eb-a968-7ac86dbd807c;1.0;0.0;0.95;8.7;95.0;Typ_8;0.65;4.3;4.3
31a43034-5553-43eb-b37d-e46d328d84af;1.0;0.0;0.95;36.5;95.0;Typ_9;0.65;18.2;18.2
9fa2c359-abe5-4d09-ab16-a26f903ba60a;1.0;0.0;0.95;13;95.0;Typ_10;0.65;6.5;6.5
5484923c-d692-401b-8ed4-fece98fce006;1.0;0.0;0.95;51.8;95.0;Typ_11;0.65;25.9;25.9
fdc0beee-76b4-4157-8e1d-4b8b0428599b;1.0;0.0;0.95;10.3;95.0;Typ_12;0.65;5.1;5.1
3f73eac8-89c0-43cd-ab23-6f024aab7dba;1.0;0.0;0.95;20.5;95.0;Typ_13;0.65;10.3;10.3
295ee921-a5b4-49a9-a243-f27a8b463b74;1.0;0.0;0.95;28.9;95.0;Typ_14;0.65;14.4;14.4
dbd66c64-ec5f-4d62-9e7b-eba33f48be7c;1.0;0.0;0.95;187.4;95.0;Typ_15;0.65;93.7;93.7