uuid,graphic_layer,line,path
2df37064-78de-4de2-8cb5-561fa8cec2d3,Standard,b11ce01e-37ce-4ea7-b3a3-4db89820fde1,"{""type"":""LineString"",""coordinates"":[[0.83615819,0.44262295],[0.84180791,0.44262295],[0.83050847,0.44262295]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
834e664b-3cff-4fae-8cc1-4cdd7af11516,Standard,ec6f82c5-e834-48d0-84af-a0f070979d65,"{""type"":""LineString"",""coordinates"":[[0.75141243,0.14754098],[0.76271186,0.14754098],[0.75706215,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
76c9c154-bb98-4112-acde-034bfea3eedf,Standard,2c6d3986-9cf2-4c41-9a40-400e4e0b3112,"{""type"":""LineString"",""coordinates"":[[0.66666667,0.77868852],[0.6779661,0.77868852],[0.67231638,0.77868852]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
2943f23e-2c36-4e11-9865-1687d782d9ff,Standard,997840bf-8c94-444f-83f1-e9c991706d7c,"{""type"":""LineString"",""coordinates"":[[0.01694915,0.06557377],[0.11864407,0.07377049],[0.06779661,0.07377049],[0.11864407,0.1557377],[0.01694915,0.07377049]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
a8cd181f-6834-437f-aa9e-6b165504b870,Standard,f0d4491e-eb64-49a0-8fc3-44fa5bd9dcee,"{""type"":""LineString"",""coordinates"":[[0.31073446,0.06557377],[0.25423729,0.06557377],[0.28248588,0.06557377]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
6df8c538-c0a6-4317-99f3-3068051701d1,Standard,de5aeea7-2505-4f0d-9d53-22a5287ab8b7,"{""type"":""LineString"",""coordinates"":[[0.70056497,0.25409836],[0.69491525,0.25409836],[0.70621469,0.25409836]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
762d71ac-bff2-4b7d-a3d0-1997e7fc6c9d,Standard,7d9647cb-e7ca-4ecc-a79e-edb1bfbfb666,"{""type"":""LineString"",""coordinates"":[[0.96610169,0.14754098],[0.95480226,0.14754098],[0.96045198,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
71572ac8-64b8-4d87-b617-dd227be40af2,Standard,3e7e4741-502d-4c8f-bad5-e0c5c6f69958,"{""type"":""LineString"",""coordinates"":[[0.83050847,0.36885246],[0.82485876,0.36885246],[0.81920904,0.36885246]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
7d30150b-f752-417b-bbed-a6f3ecd2f823,Standard,bf6e54ab-1c74-4ce7-8371-b47e9019bd25,"{""type"":""LineString"",""coordinates"":[[0.02259887,0.07377049],[0.02259887,0.04098361],[0.02259887,0.05737705]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
0d80286f-437b-44cc-959f-998de3f51893,Standard,b6b655da-54ed-41d8-a331-04e41d2286de,"{""type"":""LineString"",""coordinates"":[[0.09039548,0.75409836],[0.11864407,0.75409836],[0.14689266,0.75409836]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
59378c39-5361-470c-9974-8dd65fcc3b2b,Standard,e8329717-1626-4c33-b60e-d83e78514014,"{""type"":""LineString"",""coordinates"":[[0.84180791,0.77868852],[0.84745763,0.77868852],[0.83615819,0.77868852]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
a4ffa7f8-dfd3-4d35-ae30-1eb0b6e6d3f6,Standard,fe19ff1f-8ea4-4ffe-881b-ad8d57c4561a,"{""type"":""LineString"",""coordinates"":[[0.89830508,0.14754098],[0.90960452,0.14754098],[0.9039548,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
bf3a5270-9bfc-4edb-9ca0-2ba3273c821e,Standard,dcf3c182-18bd-4536-b11f-960c52c3b36e,"{""type"":""LineString"",""coordinates"":[[0.68926554,0.14754098],[0.68361582,0.14754098],[0.69491525,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
68ab9f6b-21c1-46eb-afde-2974072b3f9e,Standard,442c4813-6272-4cf9-b30b-22f9114bc3db,"{""type"":""LineString"",""coordinates"":[[0.68361582,0.14754098],[0.67231638,0.14754098],[0.6779661,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
41239a55-df02-4249-84df-18824c2740f4,Standard,9ec195e0-4c9b-48a6-9233-0d770b34705b,"{""type"":""LineString"",""coordinates"":[[0.85875706,0.77868852],[0.85310734,0.77868852],[0.84745763,0.77868852]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
fb4b559f-3d60-40f8-aa42-6741e8976026,Standard,81f4c585-6170-4a9e-981f-2185a0d7f2ec,"{""type"":""LineString"",""coordinates"":[[0.23163842,0.07377049],[0.23163842,0.1147541],[0.23163842,0.1557377]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
790513bc-152b-45ac-96c6-9e89f07719c0,Standard,031633ca-bd50-401e-9159-d2258ce6309c,"{""type"":""LineString"",""coordinates"":[[0.9039548,0.04918033],[0.90960452,0.04918033],[0.89830508,0.04918033]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
c1c61c3b-ca09-4cc7-a9d7-36a3c4214338,Standard,a78fbab6-e680-4c45-9731-97c82f2fb3c8,"{""type"":""LineString"",""coordinates"":[[0.15819209,0.07377049],[0.15819209,0.05737705],[0.15819209,0.04098361]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
76492511-ec9c-4e2f-be35-4b6091a4d07b,Standard,ddc63e7d-e76a-489b-a05f-97e7dee40794,"{""type"":""LineString"",""coordinates"":[[0.82485876,0.77868852],[0.83050847,0.77868852],[0.83615819,0.77868852]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
a8182e9b-729e-4097-824c-bb1ffdf76499,Standard,2005c393-edc4-4cc4-80af-ebbde1305b8e,"{""type"":""LineString"",""coordinates"":[[0.73446328,0.96721311],[0.72881356,0.96721311],[0.72316384,0.96721311]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
064f5cc6-d674-40e8-843f-70e91d79f18f,Standard,f2c37ce1-91d3-43d3-beb3-1fc9a30c87fe,"{""type"":""LineString"",""coordinates"":[[0.89265537,0.14754098],[0.89830508,0.14754098],[0.88700565,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
576ebbf9-77a7-411e-84f9-192176cfe4b6,Standard,d3d211d9-22f6-42ba-a596-0d0ca1c7e943,"{""type"":""LineString"",""coordinates"":[[0.91525424,0.25409836],[0.90960452,0.25409836],[0.92090395,0.25409836]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
d7f74d06-26c4-4f97-b45c-e51aa12ab9fe,Standard,71832b7e-b5a2-40d4-82d3-e8f1ba38ace6,"{""type"":""LineString"",""coordinates"":[[0.88700565,0.57377049],[0.89265537,0.57377049],[0.88135593,0.57377049]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
aba8138c-0b15-446c-94b9-67fc130f9c4b,Standard,d86488f7-cf74-41b4-9d62-e2923d00680f,"{""type"":""LineString"",""coordinates"":[[0.70621469,0.36885246],[0.68926554,0.36885246],[0.68361582,0.36885246]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
75f3b026-fcc1-4403-844f-8c595cb797c1,Standard,a8b86d8f-a196-4eca-b248-66bc8918f9e6,"{""type"":""LineString"",""coordinates"":[[0.76836158,0.89344262],[0.7740113,0.89344262],[0.77966102,0.89344262]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
09c5fc01-1148-4ee9-9dca-b1f04954def6,Standard,836bf4ab-38e1-44f5-a082-723fc12e4845,"{""type"":""LineString"",""coordinates"":[[0.95480226,0.67213115],[0.96045198,0.67213115],[0.94915254,0.67213115]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
74efa478-92b6-442f-9c59-fb15bf064429,Standard,c6d6ca9d-042c-4525-9221-65bfa04477a4,"{""type"":""LineString"",""coordinates"":[[0.79661017,0.36885246],[0.79096045,0.36885246],[0.78531073,0.36885246]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
d031dde1-6f80-4af1-a1f2-cbb223220469,Standard,4cfd425d-6158-4904-86b5-d16dc47a4778,"{""type"":""LineString"",""coordinates"":[[0.89265537,0.67213115],[0.89830508,0.67213115],[0.9039548,0.67213115]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
d8f0a014-fdb6-44da-8b0a-abd44e7578c6,Standard,7d68b748-ebe5-430e-95b8-bd0eededa136,"{""type"":""LineString"",""coordinates"":[[0.94350282,0.89344262],[0.92655367,0.89344262],[0.96045198,0.89344262],[0.96045198,0.91803279]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
90022bb0-1fb8-4b03-8220-30c2fc7bf6c9,Standard,2770ee0b-96ca-4677-9933-8d82643501e3,"{""type"":""LineString"",""coordinates"":[[0.82485876,0.57377049],[0.81920904,0.57377049],[0.81355932,0.57377049]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
a6870226-3616-4619-9c12-e8d33ca469c5,Standard,95b47f01-829a-46c3-873a-4df11d798c49,"{""type"":""LineString"",""coordinates"":[[0.85875706,0.89344262],[0.84745763,0.89344262],[0.85310734,0.89344262]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
abed22cb-da71-4459-9221-9b63cb8c672b,Standard,d5d7329a-08a2-4946-8a02-d4a70746d37b,"{""type"":""LineString"",""coordinates"":[[0.79096045,0.96721311],[0.79661017,0.96721311],[0.80225989,0.96721311]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
d377b2a4-317a-4934-8442-33b32bf55c4b,Standard,9af99daa-1e1e-45a8-bbed-c77e47ba4f8a,"{""type"":""LineString"",""coordinates"":[[0.71186441,0.77868852],[0.70621469,0.77868852],[0.70056497,0.77868852]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
8df4fa46-3c96-4229-9d6a-262cc80ed213,Standard,d74febce-1b8d-4f51-9721-5eb1866d6b4e,"{""type"":""LineString"",""coordinates"":[[0.15819209,0.0],[0.15819209,0.0204918],[0.15819209,0.04098361]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
28c5c34c-a3bb-4f11-88da-6bf48d718eca,Standard,0f9bf171-b79b-4009-8b0b-6ec18c523ebf,"{""type"":""LineString"",""coordinates"":[[0.76836158,0.67213115],[0.75706215,0.67213115],[0.76271186,0.67213115]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
37d550c7-c9c4-48c3-b2b6-4c120c095dec,Standard,1372ca57-8429-43c6-a589-a402de4ac7f9,"{""type"":""LineString"",""coordinates"":[[0.93785311,0.14754098],[0.93220339,0.14754098],[0.94350282,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
a17da6b8-ee9a-4ea4-83b4-97ed6a95cfeb,Standard,17e2286d-65ca-4948-8a6c-63bdc13a9b50,"{""type"":""LineString"",""coordinates"":[[0.99435028,0.57377049],[0.99435028,0.91803279],[0.99435028,0.74590164],[0.96045198,0.57377049]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
d969661d-d4dc-4544-95aa-54baebea0e8f,Standard,a102f0f4-e86d-438c-95a9-d3fc6357121f,"{""type"":""LineString"",""coordinates"":[[0.9039548,0.57377049],[0.91525424,0.57377049],[0.90960452,0.57377049]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
731d0c51-6405-43f9-ab85-2ee7039cbef5,Standard,0a068504-0bd7-4484-a0e3-26afade14698,"{""type"":""LineString"",""coordinates"":[[0.0960452,0.14754098],[0.0960452,0.1147541],[0.0960452,0.13114754]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
75c4a953-e8af-496f-b844-0e201f12c8da,Standard,e1315733-0b28-4465-8367-fa4535d282fa,"{""type"":""LineString"",""coordinates"":[[0.86440678,0.14754098],[0.8700565,0.14754098],[0.87570621,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
69c87952-34ed-4092-8522-dd2c66ac48f5,Standard,eb1cd362-f3bd-4411-a45d-a237bcb07789,"{""type"":""LineString"",""coordinates"":[[0.76836158,0.89344262],[0.75706215,0.89344262],[0.76271186,0.89344262]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
11bdeb21-cd02-48b2-bd54-b1adf2e96ecf,Standard,0f11e5d6-f850-463b-8d74-6fdf91fad535,"{""type"":""LineString"",""coordinates"":[[0.97175141,0.84836159],[0.97175141,0.91803279],[0.96045198,0.77868852],[0.97175141,0.77868852]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
d37ce273-2b19-445b-aa00-ee2a13153e14,Standard,e357bf93-aaa3-4870-b6a4-6d2cdb8967da,"{""type"":""LineString"",""coordinates"":[[0.88700565,0.36885246],[0.87570621,0.36885246],[0.88135593,0.36885246]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
58b6d4fc-b31d-4909-ba77-0b4c7bb2125a,Standard,7fa87646-f182-4d67-9ffd-850f489fb24a,"{""type"":""LineString"",""coordinates"":[[0.66666667,0.67213115],[0.67231638,0.67213115],[0.6779661,0.67213115]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
c1fd7798-e4fd-4cfb-af81-2cf23744637c,Standard,5f8eb2b8-0f98-4011-bc3a-b182285be4db,"{""type"":""LineString"",""coordinates"":[[0.81920904,0.44262295],[0.83050847,0.44262295],[0.82485876,0.44262295]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
2aa712e6-4fbb-40e4-baac-a0c2ecd7a8be,Standard,0ffacffd-4f3f-465b-8525-bc22facc45da,"{""type"":""LineString"",""coordinates"":[[0.17514124,0.57377049],[0.14689266,0.57377049],[0.20338983,0.57377049]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
74887fe3-c3a5-4919-8b77-743e3f2c5bd4,Standard,d48db7e8-5fde-456f-8b17-02d18a5a2e32,"{""type"":""LineString"",""coordinates"":[[0.31073446,0.1557377],[0.25423729,0.1557377],[0.28248588,0.1557377]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
8b7a0eb4-e725-4416-ac52-3810059bfc5c,Standard,95644bf5-8dca-4409-bb04-7d4e9a24fa03,"{""type"":""LineString"",""coordinates"":[[0.63841808,0.14754098],[0.63276836,0.14754098],[0.62711864,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
bbca471b-16c1-4981-8414-b6bf87274cae,Standard,80332374-76fe-4d06-adde-e2197f88fe6e,"{""type"":""LineString"",""coordinates"":[[0.79661017,0.57377049],[0.80225989,0.57377049],[0.77966102,0.57377049]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
b634d0e8-330a-40ac-bf97-0caa01370bcf,Standard,6862b157-39c8-47d2-b31c-e418e1bad9a2,"{""type"":""LineString"",""coordinates"":[[0.68926554,0.77868852],[0.69491525,0.77868852],[0.70056497,0.77868852]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
1d22d39f-e8b0-43b3-ab64-67ea9c72e892,Standard,6f875559-5af0-47a9-9f0e-f1d8332f9230,"{""type"":""LineString"",""coordinates"":[[0.81355932,0.96721311],[0.8079096,0.96721311],[0.80225989,0.96721311]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
bd52fae7-5d39-4718-a9f5-737d6e4ac693,Standard,87a41d29-ad67-4bd6-a5b7-9d1414b38c6e,"{""type"":""LineString"",""coordinates"":[[0.89265537,0.89344262],[0.9039548,0.89344262],[0.89830508,0.89344262]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
4ca6d6bc-9616-4f26-a953-b04c20364f56,Standard,1a52eb5c-a8a1-4b69-9aac-138e425d835b,"{""type"":""LineString"",""coordinates"":[[0.88700565,0.04918033],[0.87570621,0.04918033],[0.88135593,0.04918033]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
b6e8a3b1-e76e-4788-960f-79afcd82cd8f,Standard,1c23e300-0ad5-4b90-ac74-b9763e579268,"{""type"":""LineString"",""coordinates"":[[0.22033898,0.0204918],[0.22033898,0.04098361],[0.22033898,0.0]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
890090ef-f4f2-4ff6-b11b-9eda935b67c5,Standard,16b934cc-98c6-42b9-9005-be4bf7365693,"{""type"":""LineString"",""coordinates"":[[0.22881291,0.57377049],[0.25423729,0.57377049],[0.20338983,0.57377049]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
a6a4da26-f67b-4ef9-aef8-c072a664c473,Standard,7cc28881-dec6-4baa-ad77-d4a2ea3cdd68,"{""type"":""LineString"",""coordinates"":[[0.02259887,0.0],[0.02259887,0.0204918],[0.02259887,0.04098361]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
7db35bba-5e4d-4964-abbe-a2e18b630f59,Standard,08d39ce3-e843-49bd-9b46-1fe927a1d4be,"{""type"":""LineString"",""coordinates"":[[0.77966102,0.25409836],[0.7740113,0.25409836],[0.78531073,0.25409836]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
bef95efd-2cd8-472f-831d-c3bd3c207aa3,Standard,58105b87-e27d-4d7f-b492-42434801bdf7,"{""type"":""LineString"",""coordinates"":[[0.73446328,0.89344262],[0.74576271,0.89344262],[0.74011299,0.89344262]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
7fdceb5a-d837-4672-a25c-3ef1c4b021f1,Standard,cd994d2f-b62e-4ab9-8f4c-e5357fd04af7,"{""type"":""LineString"",""coordinates"":[[0.71751412,0.14754098],[0.72316384,0.14754098],[0.72881356,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
91bf20e1-1a3b-4b69-b55b-a4ab8a5b3ae9,Standard,445cc0c8-70b8-47d4-987f-308269b845a3,"{""type"":""LineString"",""coordinates"":[[0.61581921,0.89344262],[0.62146893,0.89344262],[0.61016949,0.89344262]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
4c56b3b5-fa87-4f28-a448-8b0c18e4fa5b,Standard,d8d23da6-be08-4ace-8d93-70c0faab1505,"{""type"":""LineString"",""coordinates"":[[0.92090395,0.04918033],[0.90960452,0.04918033],[0.91525424,0.04918033]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
4e955f6a-da29-4020-874c-7608dbf744db,Standard,ca765f8e-2a05-40fb-80b8-41e02887fa46,"{""type"":""LineString"",""coordinates"":[[0.75706215,0.67213115],[0.75141243,0.67213115],[0.74576271,0.67213115]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
f6991b3a-2ada-49cf-abf1-a63a965f014c,Standard,22d61b21-2a7d-4be8-b14b-f0d72e1c5ba7,"{""type"":""LineString"",""coordinates"":[[0.8079096,0.04918033],[0.81355932,0.04918033],[0.81920904,0.04918033]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
36b52d45-0e51-46b2-9831-aa3fb3ff3c37,Standard,c49d1581-a0c6-493f-9534-39f97970492b,"{""type"":""LineString"",""coordinates"":[[0.81355932,0.67213115],[0.81920904,0.67213115],[0.82485876,0.67213115]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
30a58ed2-09d8-4e43-9aff-7b9f1e3e1f73,Standard,7df282f5-2e54-4220-8276-087634415be8,"{""type"":""LineString"",""coordinates"":[[0.73446328,0.44262295],[0.72881356,0.44262295],[0.74011299,0.44262295]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
de4bc4d5-2d9e-405d-b63d-6e6534de49e1,Standard,ffdd2907-38ed-4a39-89de-9435e97dadc0,"{""type"":""LineString"",""coordinates"":[[0.76836158,0.25409836],[0.7740113,0.25409836],[0.76271186,0.25409836]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
606bfb84-710f-493d-8726-c3293352134c,Standard,1cf0cb95-28b9-4dc1-82b9-3466d7d870cc,"{""type"":""LineString"",""coordinates"":[[0.68926554,0.67213115],[0.68361582,0.67213115],[0.6779661,0.67213115]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
7548e909-99a8-426b-9c9a-7551e6fc7a87,Standard,13ea7170-5fc1-4ed8-be71-0a91a9e5df99,"{""type"":""LineString"",""coordinates"":[[0.77966102,0.67213115],[0.79096045,0.67213115],[0.78531073,0.67213115]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
9944a608-7e0a-4325-963f-76110bbe81b7,Standard,b672be06-2cbc-4510-8a96-34647985e9d5,"{""type"":""LineString"",""coordinates"":[[0.92090395,0.14754098],[0.93220339,0.14754098],[0.92655367,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
badf084a-59db-4de6-bf6d-48f988378609,Standard,14f9eef8-8550-45fa-a3f0-f583624556e7,"{""type"":""LineString"",""coordinates"":[[0.83050847,0.25409836],[0.82485876,0.25409836],[0.81920904,0.25409836]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
7d5ff8b0-0692-4a90-bd37-24f4d8d61b98,Standard,13cfe1fb-1cec-4c17-baf8-b7dcb9f744cd,"{""type"":""LineString"",""coordinates"":[[0.93220339,0.36885246],[0.94915254,0.36885246],[0.96610169,0.39344262],[0.96610169,0.36885246]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
7c9a8ae8-b024-4bf6-ade7-154fd3f39d7a,Standard,746fa279-2acf-4aa1-b3e1-8d312d66058a,"{""type"":""LineString"",""coordinates"":[[0.9039548,0.77868852],[0.91525424,0.77868852],[0.90960452,0.77868852]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
